"Kod";"Nazwa";"ogółem;ogółem;2022;[zł]";
1428000;"Powiat sochaczewski";5834;
1429000;"Powiat sokołowski";4699;
1430000;"Powiat szydłowiecki";5103;
1432000;"Powiat warszawski zachodni";6854;
1433000;"Powiat węgrowski";5292;
1434000;"Powiat wołomiński";6676;
1435000;"Powiat wyszkowski";5198;
1436000;"Powiat zwoleński";4062;
1437000;"Powiat żuromiński";4124;
1438000;"Powiat żyrardowski";5548;
1461000;"Powiat m. Ostrołęka";5005;
1462000;"Powiat m. Płock";5245;
1463000;"Powiat m. Radom";5803;
1464000;"Powiat m. Siedlce";6725;
1465000;"Powiat m. st. Warszawa";11705;
1601000;"Powiat brzeski";4476;
1602000;"Powiat głubczycki";2458;
1603000;"Powiat kędzierzyńsko-kozielski";1541;
1604000;"Powiat kluczborski";3017;
1605000;"Powiat krapkowicki";4735;
1606000;"Powiat namysłowski";4711;
1607000;"Powiat nyski";4556;
1608000;"Powiat oleski";3950;
1609000;"Powiat opolski";4517;
1610000;"Powiat prudnicki";2519;
1611000;"Powiat strzelecki";3906;
1661000;"Powiat m. Opole";6567;
1801000;"Powiat bieszczadzki";4369;
1802000;"Powiat brzozowski";4400;
1803000;"Powiat dębicki";4776;
1804000;"Powiat jarosławski";4438;
1805000;"Powiat jasielski";4461;
1806000;"Powiat kolbuszowski";5949;
1807000;"Powiat krośnieński";3036;
1808000;"Powiat leżajski";3840;
1809000;"Powiat lubaczowski";3010;
1810000;"Powiat łańcucki";4927;
1811000;"Powiat mielecki";4905;
1812000;"Powiat niżański";4521;
1813000;"Powiat przemyski";3091;
1814000;"Powiat przeworski";3496;
1815000;"Powiat ropczycko-sędziszowski";4871;
1816000;"Powiat rzeszowski";5496;
1817000;"Powiat sanocki";5617;
1818000;"Powiat stalowowolski";5463;
1819000;"Powiat strzyżowski";4554;
1820000;"Powiat tarnobrzeski";4146;
1821000;"Powiat leski";3879;
1861000;"Powiat m. Krosno";4696;
1862000;"Powiat m. Przemyśl";4494;
1863000;"Powiat m. Rzeszów";6717;
1864000;"Powiat m. Tarnobrzeg";4933;
2001000;"Powiat augustowski";5784;
2002000;"Powiat białostocki";4991;
2003000;"Powiat bielski";6032;
2004000;"Powiat grajewski";4497;
2005000;"Powiat hajnowski";4416;
2006000;"Powiat kolneński";4448;
2007000;"Powiat łomżyński";3695;
2008000;"Powiat moniecki";3284;
2009000;"Powiat sejneński";3942;
2010000;"Powiat siemiatycki";4228;
2011000;"Powiat sokólski";5000;
2012000;"Powiat suwalski";3078;
2013000;"Powiat wysokomazowiecki";5451;
2014000;"Powiat zambrowski";4700;
2061000;"Powiat m. Białystok";6596;
2062000;"Powiat m. Łomża";5717;
2063000;"Powiat m. Suwałki";5463;
2201000;"Powiat bytowski";4311;
2202000;"Powiat chojnicki";4946;
2203000;"Powiat człuchowski";3063;
2204000;"Powiat gdański";6783;
2205000;"Powiat kartuski";5940;
2206000;"Powiat kościerski";5921;
2207000;"Powiat kwidzyński";4794;
2208000;"Powiat lęborski";4913;
2209000;"Powiat malborski";5103;
2210000;"Powiat nowodworski";5853;
2211000;"Powiat pucki";7695;
2212000;"Powiat słupski";4337;
2213000;"Powiat starogardzki";5257;
2214000;"Powiat tczewski";5839;
2215000;"Powiat wejherowski";6030;
2216000;"Powiat sztumski";3098;
2261000;"Powiat m. Gdańsk";9431;
2262000;"Powiat m. Gdynia";9371;
2263000;"Powiat m. Słupsk";5375;
2264000;"Powiat m. Sopot";15079;
2401000;"Powiat będziński";5022;
2402000;"Powiat bielski";5263;
2403000;"Powiat cieszyński";5747;
2404000;"Powiat częstochowski";3916;
2405000;"Powiat gliwicki";4453;
2406000;"Powiat kłobucki";5036;
2407000;"Powiat lubliniecki";4451;
2408000;"Powiat mikołowski";5035;
2409000;"Powiat myszkowski";4023;
2410000;"Powiat pszczyński";4998;
2411000;"Powiat raciborski";4098;
2412000;"Powiat rybnicki";3544;
2413000;"Powiat tarnogórski";5122;
2414000;"Powiat bieruńsko-lędziński";4767;
2415000;"Powiat wodzisławski";3716;
2416000;"Powiat zawierciański";4052;
2417000;"Powiat żywiecki";6674;
2461000;"Powiat m. Bielsko-Biała";6268;
2462000;"Powiat m. Bytom";3598;
2463000;"Powiat m. Chorzów";5186;
2464000;"Powiat m. Częstochowa";5797;
2465000;"Powiat m. Dąbrowa Górnicza";4994;
2466000;"Powiat m. Gliwice";5842;
2467000;"Powiat m. Jastrzębie-Zdrój";3611;
2468000;"Powiat m. Jaworzno";5202;
2469000;"Powiat m. Katowice";6379;
2470000;"Powiat m. Mysłowice";4562;
2471000;"Powiat m. Piekary Śląskie";4168;
2472000;"Powiat m. Ruda Śląska";4151;
2473000;"Powiat m. Rybnik";4591;
2474000;"Powiat m. Siemianowice Śląskie";5012;
2475000;"Powiat m. Sosnowiec";4969;
2476000;"Powiat m. Świętochłowice";4972;
2477000;"Powiat m. Tychy";6092;
2478000;"Powiat m. Zabrze";4265;
2479000;"Powiat m. Żory";5501;
2601000;"Powiat buski";5522;
2602000;"Powiat jędrzejowski";4824;
2603000;"Powiat kazimierski";3809;
2604000;"Powiat kielecki";5039;
2605000;"Powiat konecki";4560;
2606000;"Powiat opatowski";3569;
2607000;"Powiat ostrowiecki";4118;
2608000;"Powiat pińczowski";4190;
2609000;"Powiat sandomierski";5325;
2610000;"Powiat skarżyski";4279;
2611000;"Powiat starachowicki";4456;
2612000;"Powiat staszowski";4152;
2613000;"Powiat włoszczowski";4958;
2661000;"Powiat m. Kielce";6716;
2801000;"Powiat bartoszycki";2663;
2802000;"Powiat braniewski";3397;
2803000;"Powiat działdowski";3756;
2804000;"Powiat elbląski";3800;
2805000;"Powiat ełcki";5307;
2806000;"Powiat giżycki";5588;
2807000;"Powiat iławski";4763;
2808000;"Powiat kętrzyński";2915;
2809000;"Powiat lidzbarski";3496;
2810000;"Powiat mrągowski";5701;
2811000;"Powiat nidzicki";4000;
2812000;"Powiat nowomiejski";4183;
2813000;"Powiat olecki";4278;
2814000;"Powiat olsztyński";5980;
2815000;"Powiat ostródzki";4712;
2816000;"Powiat piski";3870;
2817000;"Powiat szczycieński";4839;
2818000;"Powiat gołdapski";3954;
2819000;"Powiat węgorzewski";4959;
2861000;"Powiat m. Elbląg";5502;
2862000;"Powiat m. Olsztyn";7077;
3001000;"Powiat chodzieski";4461;
3002000;"Powiat czarnkowsko-trzcianecki";4415;
3003000;"Powiat gnieźnieński";4800;
3004000;"Powiat gostyński";4493;
3005000;"Powiat grodziski";4339;
3006000;"Powiat jarociński";4469;
3007000;"Powiat kaliski";3273;
3008000;"Powiat kępiński";4972;
3009000;"Powiat kolski";3965;
3010000;"Powiat koniński";3917;
3011000;"Powiat kościański";4290;
3012000;"Powiat krotoszyński";4400;
3013000;"Powiat leszczyński";4222;
3014000;"Powiat międzychodzki";3891;
3015000;"Powiat nowotomyski";4480;
3016000;"Powiat obornicki";5107;
3017000;"Powiat ostrowski";4699;
3018000;"Powiat ostrzeszowski";5815;
3019000;"Powiat pilski";5080;
3020000;"Powiat pleszewski";4158;
3021000;"Powiat poznański";5989;
3022000;"Powiat rawicki";5256;
3023000;"Powiat słupecki";5254;
