"Kod";"Nazwa";"ludność w tysiącach;2022;[tys. osób]";
1419000;"Powiat płocki";109,74;
1420000;"Powiat płoński";84,39;
1421000;"Powiat pruszkowski";178,04;
1422000;"Powiat przasnyski";49,41;
1423000;"Powiat przysuski";39,03;
1424000;"Powiat pułtuski";50,56;
1425000;"Powiat radomski";151,20;
1426000;"Powiat siedlecki";80,49;
1427000;"Powiat sierpecki";48,64;
1428000;"Powiat sochaczewski";83,33;
1429000;"Powiat sokołowski";50,62;
1430000;"Powiat szydłowiecki";37,79;
1432000;"Powiat warszawski zachodni";133,22;
1433000;"Powiat węgrowski";62,27;
1434000;"Powiat wołomiński";273,41;
1435000;"Powiat wyszkowski";73,56;
1436000;"Powiat zwoleński";34,54;
1437000;"Powiat żuromiński";35,88;
1438000;"Powiat żyrardowski";75,41;
1461000;"Powiat m. Ostrołęka";48,71;
1462000;"Powiat m. Płock";112,48;
1463000;"Powiat m. Radom";197,85;
1464000;"Powiat m. Siedlce";75,62;
1465000;"Powiat m. st. Warszawa";1861,98;
1601000;"Powiat brzeski";86,73;
1602000;"Powiat głubczycki";43,07;
1603000;"Powiat kędzierzyńsko-kozielski";87,01;
1604000;"Powiat kluczborski";61,71;
1605000;"Powiat krapkowicki";59,96;
1606000;"Powiat namysłowski";42,16;
1607000;"Powiat nyski";129,35;
1608000;"Powiat oleski";61,66;
1609000;"Powiat opolski";120,76;
1610000;"Powiat prudnicki";51,91;
1611000;"Powiat strzelecki";71,66;
1661000;"Powiat m. Opole";126,46;
1801000;"Powiat bieszczadzki";20,78;
1802000;"Powiat brzozowski";63,59;
1803000;"Powiat dębicki";132,87;
1804000;"Powiat jarosławski";116,46;
1805000;"Powiat jasielski";109,58;
1806000;"Powiat kolbuszowski";61,39;
1807000;"Powiat krośnieński";109,12;
1808000;"Powiat leżajski";67,02;
1809000;"Powiat lubaczowski";52,98;
1810000;"Powiat łańcucki";80,80;
1811000;"Powiat mielecki";133,32;
1812000;"Powiat niżański";64,06;
1813000;"Powiat przemyski";71,39;
1814000;"Powiat przeworski";76,09;
1815000;"Powiat ropczycko-sędziszowski";74,07;
1816000;"Powiat rzeszowski";174,81;
1817000;"Powiat sanocki";90,29;
1818000;"Powiat stalowowolski";101,64;
1819000;"Powiat strzyżowski";59,51;
1820000;"Powiat tarnobrzeski";51,30;
1821000;"Powiat leski";25,57;
1861000;"Powiat m. Krosno";44,32;
1862000;"Powiat m. Przemyśl";56,80;
1863000;"Powiat m. Rzeszów";197,18;
1864000;"Powiat m. Tarnobrzeg";44,16;
2001000;"Powiat augustowski";54,92;
2002000;"Powiat białostocki";156,37;
2003000;"Powiat bielski";51,15;
2004000;"Powiat grajewski";44,72;
2005000;"Powiat hajnowski";39,43;
2006000;"Powiat kolneński";35,92;
2007000;"Powiat łomżyński";49,71;
2008000;"Powiat moniecki";37,73;
2009000;"Powiat sejneński";18,80;
2010000;"Powiat siemiatycki";41,11;
2011000;"Powiat sokólski";62,06;
2012000;"Powiat suwalski";34,78;
2013000;"Powiat wysokomazowiecki";53,84;
2014000;"Powiat zambrowski";41,55;
2061000;"Powiat m. Białystok";292,60;
2062000;"Powiat m. Łomża";60,13;
2063000;"Powiat m. Suwałki";68,53;
2201000;"Powiat bytowski";76,72;
2202000;"Powiat chojnicki";96,22;
2203000;"Powiat człuchowski";53,56;
2204000;"Powiat gdański";129,98;
2205000;"Powiat kartuski";151,93;
2206000;"Powiat kościerski";72,23;
2207000;"Powiat kwidzyński";80,64;
2208000;"Powiat lęborski";63,90;
2209000;"Powiat malborski";61,01;
2210000;"Powiat nowodworski";33,82;
2211000;"Powiat pucki";90,94;
2212000;"Powiat słupski";96,23;
2213000;"Powiat starogardzki";125,44;
2214000;"Powiat tczewski";111,76;
2215000;"Powiat wejherowski";227,41;
2216000;"Powiat sztumski";38,68;
2261000;"Powiat m. Gdańsk";486,35;
2262000;"Powiat m. Gdynia";242,87;
2263000;"Powiat m. Słupsk";86,37;
2264000;"Powiat m. Sopot";32,28;
2401000;"Powiat będziński";145,43;
2402000;"Powiat bielski";165,84;
2403000;"Powiat cieszyński";175,58;
2404000;"Powiat częstochowski";132,01;
2405000;"Powiat gliwicki";113,22;
2406000;"Powiat kłobucki";82,45;
2407000;"Powiat lubliniecki";75,16;
2408000;"Powiat mikołowski";99,60;
2409000;"Powiat myszkowski";68,05;
2410000;"Powiat pszczyński";110,96;
2411000;"Powiat raciborski";99,97;
2412000;"Powiat rybnicki";76,82;
2413000;"Powiat tarnogórski";139,22;
