"Kod";"Nazwa";"ludność na 1 km2;2022;[osoba]";
1418000;"Powiat piaseczyński";341,6;
1419000;"Powiat płocki";61,1;
1420000;"Powiat płoński";61,2;
1421000;"Powiat pruszkowski";722,6;
1422000;"Powiat przasnyski";40,5;
1423000;"Powiat przysuski";48,7;
1424000;"Powiat pułtuski";61,1;
1425000;"Powiat radomski";98,8;
1426000;"Powiat siedlecki";50,2;
1427000;"Powiat sierpecki";57,1;
1428000;"Powiat sochaczewski";113,4;
1429000;"Powiat sokołowski";44,7;
1430000;"Powiat szydłowiecki";83,7;
1432000;"Powiat warszawski zachodni";249,6;
1433000;"Powiat węgrowski";51,0;
1434000;"Powiat wołomiński";286,7;
1435000;"Powiat wyszkowski";83,8;
1436000;"Powiat zwoleński";60,3;
1437000;"Powiat żuromiński";44,5;
1438000;"Powiat żyrardowski";141,6;
1461000;"Powiat m. Ostrołęka";1455,8;
1462000;"Powiat m. Płock";1277,6;
1463000;"Powiat m. Radom";1769,7;
1464000;"Powiat m. Siedlce";2373,6;
1465000;"Powiat m. st. Warszawa";3600,1;
1601000;"Powiat brzeski";99,0;
1602000;"Powiat głubczycki";64,0;
1603000;"Powiat kędzierzyńsko-kozielski";139,2;
1604000;"Powiat kluczborski";72,4;
1605000;"Powiat krapkowicki";135,7;
1606000;"Powiat namysłowski";56,4;
1607000;"Powiat nyski";105,7;
1608000;"Powiat oleski";63,3;
1609000;"Powiat opolski";78,7;
1610000;"Powiat prudnicki";90,9;
1611000;"Powiat strzelecki";96,3;
1661000;"Powiat m. Opole";848,5;
1801000;"Powiat bieszczadzki";18,2;
1802000;"Powiat brzozowski";117,9;
1803000;"Powiat dębicki";171,0;
1804000;"Powiat jarosławski";113,2;
1805000;"Powiat jasielski";131,9;
1806000;"Powiat kolbuszowski";79,4;
1807000;"Powiat krośnieński";110,0;
1808000;"Powiat leżajski";114,8;
1809000;"Powiat lubaczowski";40,5;
1810000;"Powiat łańcucki";178,8;
1811000;"Powiat mielecki";151,4;
1812000;"Powiat niżański";81,5;
1813000;"Powiat przemyski";58,9;
1814000;"Powiat przeworski";109,0;
1815000;"Powiat ropczycko-sędziszowski";135,1;
1816000;"Powiat rzeszowski";152,7;
1817000;"Powiat sanocki";78,1;
1818000;"Powiat stalowowolski";122,2;
1819000;"Powiat strzyżowski";118,2;
1820000;"Powiat tarnobrzeski";98,5;
1821000;"Powiat leski";30,6;
1861000;"Powiat m. Krosno";991,3;
1862000;"Powiat m. Przemyśl";1230,3;
1863000;"Powiat m. Rzeszów";1528,4;
1864000;"Powiat m. Tarnobrzeg";517,0;
2001000;"Powiat augustowski";33,1;
2002000;"Powiat białostocki";52,5;
2003000;"Powiat bielski";36,9;
2004000;"Powiat grajewski";46,2;
2005000;"Powiat hajnowski";24,3;
2006000;"Powiat kolneński";38,2;
2007000;"Powiat łomżyński";36,7;
2008000;"Powiat moniecki";27,3;
2009000;"Powiat sejneński";22,0;
2010000;"Powiat siemiatycki";28,2;
2011000;"Powiat sokólski";30,2;
2012000;"Powiat suwalski";26,6;
2013000;"Powiat wysokomazowiecki";41,8;
2014000;"Powiat zambrowski";56,7;
2061000;"Powiat m. Białystok";2865,0;
2062000;"Powiat m. Łomża";1840,5;
2063000;"Powiat m. Suwałki";1046,0;
2201000;"Powiat bytowski";35,0;
2202000;"Powiat chojnicki";70,5;
2203000;"Powiat człuchowski";34,0;
2204000;"Powiat gdański";163,7;
2205000;"Powiat kartuski";135,6;
2206000;"Powiat kościerski";62,0;
2207000;"Powiat kwidzyński";96,6;
2208000;"Powiat lęborski";90,3;
2209000;"Powiat malborski";123,4;
2210000;"Powiat nowodworski";50,2;
2211000;"Powiat pucki";156,5;
2212000;"Powiat słupski";41,6;
2213000;"Powiat starogardzki";93,2;
2214000;"Powiat tczewski";160,3;
2215000;"Powiat wejherowski";176,6;
2216000;"Powiat sztumski";52,9;
2261000;"Powiat m. Gdańsk";1829,3;
2262000;"Powiat m. Gdynia";1796,4;
2263000;"Powiat m. Słupsk";2001,5;
2264000;"Powiat m. Sopot";1859,2;
2401000;"Powiat będziński";399,2;
2402000;"Powiat bielski";362,1;
2403000;"Powiat cieszyński";240,4;
2404000;"Powiat częstochowski";86,7;
2405000;"Powiat gliwicki";170,3;
2406000;"Powiat kłobucki";92,8;
2407000;"Powiat lubliniecki";91,4;
