"Kod";"Nazwa";"ogółem;2022;[%]";
1420000;"Powiat płoński";10,3;
1421000;"Powiat pruszkowski";2,2;
1422000;"Powiat przasnyski";9,0;
1423000;"Powiat przysuski";19,7;
1424000;"Powiat pułtuski";14,1;
1425000;"Powiat radomski";16,4;
1426000;"Powiat siedlecki";5,0;
1427000;"Powiat sierpecki";11,5;
1428000;"Powiat sochaczewski";3,0;
1429000;"Powiat sokołowski";5,6;
1430000;"Powiat szydłowiecki";24,6;
1432000;"Powiat warszawski zachodni";1,6;
1433000;"Powiat węgrowski";5,7;
1434000;"Powiat wołomiński";6,5;
1435000;"Powiat wyszkowski";3,6;
1436000;"Powiat zwoleński";13,0;
1437000;"Powiat żuromiński";15,0;
1438000;"Powiat żyrardowski";8,5;
1461000;"Powiat m. Ostrołęka";7,6;
1462000;"Powiat m. Płock";6,0;
1463000;"Powiat m. Radom";9,4;
1464000;"Powiat m. Siedlce";4,0;
1465000;"Powiat m. st. Warszawa";1,5;
1601000;"Powiat brzeski";7,9;
1602000;"Powiat głubczycki";10,0;
1603000;"Powiat kędzierzyńsko-kozielski";7,4;
1604000;"Powiat kluczborski";6,9;
1605000;"Powiat krapkowicki";5,1;
1606000;"Powiat namysłowski";8,9;
1607000;"Powiat nyski";7,3;
1608000;"Powiat oleski";4,4;
1609000;"Powiat opolski";5,7;
1610000;"Powiat prudnicki";9,1;
1611000;"Powiat strzelecki";4,4;
1661000;"Powiat m. Opole";3,1;
1801000;"Powiat bieszczadzki";15,7;
1802000;"Powiat brzozowski";21,5;
1803000;"Powiat dębicki";4,7;
1804000;"Powiat jarosławski";11,3;
1805000;"Powiat jasielski";12,7;
1806000;"Powiat kolbuszowski";7,9;
1807000;"Powiat krośnieński";7,5;
1808000;"Powiat leżajski";14,8;
1809000;"Powiat lubaczowski";10,4;
1810000;"Powiat łańcucki";9,8;
1811000;"Powiat mielecki";4,4;
1812000;"Powiat niżański";16,6;
1813000;"Powiat przemyski";16,0;
1814000;"Powiat przeworski";14,4;
1815000;"Powiat ropczycko-sędziszowski";11,1;
1816000;"Powiat rzeszowski";8,0;
1817000;"Powiat sanocki";7,8;
1818000;"Powiat stalowowolski";4,5;
1819000;"Powiat strzyżowski";17,7;
1820000;"Powiat tarnobrzeski";7,5;
1821000;"Powiat leski";19,0;
1861000;"Powiat m. Krosno";2,7;
1862000;"Powiat m. Przemyśl";10,5;
1863000;"Powiat m. Rzeszów";4,4;
1864000;"Powiat m. Tarnobrzeg";6,9;
2001000;"Powiat augustowski";10,1;
2002000;"Powiat białostocki";7,5;
2003000;"Powiat bielski";4,2;
2004000;"Powiat grajewski";11,6;
2005000;"Powiat hajnowski";8,1;
2006000;"Powiat kolneński";16,1;
2007000;"Powiat łomżyński";5,2;
2008000;"Powiat moniecki";7,3;
2009000;"Powiat sejneński";9,8;
2010000;"Powiat siemiatycki";6,0;
2011000;"Powiat sokólski";11,1;
2012000;"Powiat suwalski";5,0;
2013000;"Powiat wysokomazowiecki";7,0;
2014000;"Powiat zambrowski";6,7;
2061000;"Powiat m. Białystok";5,2;
2062000;"Powiat m. Łomża";6,9;
2063000;"Powiat m. Suwałki";5,3;
2201000;"Powiat bytowski";9,3;
2202000;"Powiat chojnicki";8,4;
2203000;"Powiat człuchowski";10,1;
2204000;"Powiat gdański";3,7;
2205000;"Powiat kartuski";3,2;
2206000;"Powiat kościerski";7,2;
2207000;"Powiat kwidzyński";5,9;
2208000;"Powiat lęborski";10,5;
2209000;"Powiat malborski";8,5;
2210000;"Powiat nowodworski";12,3;
2211000;"Powiat pucki";6,0;
2212000;"Powiat słupski";7,8;
2213000;"Powiat starogardzki";5,6;
2214000;"Powiat tczewski";5,5;
2215000;"Powiat wejherowski";5,1;
2216000;"Powiat sztumski";5,9;
2261000;"Powiat m. Gdańsk";2,3;
2262000;"Powiat m. Gdynia";2,0;
2263000;"Powiat m. Słupsk";3,6;
2264000;"Powiat m. Sopot";1,8;
2401000;"Powiat będziński";6,0;
2402000;"Powiat bielski";3,1;
2403000;"Powiat cieszyński";5,0;
2404000;"Powiat częstochowski";6,5;
2405000;"Powiat gliwicki";3,7;
2406000;"Powiat kłobucki";7,3;
2407000;"Powiat lubliniecki";5,5;
2408000;"Powiat mikołowski";2,6;
2409000;"Powiat myszkowski";6,9;
2410000;"Powiat pszczyński";3,2;
2411000;"Powiat raciborski";3,6;
2412000;"Powiat rybnicki";4,9;
2413000;"Powiat tarnogórski";4,5;
2414000;"Powiat bieruńsko-lędziński";1,7;
2415000;"Powiat wodzisławski";5,1;
2416000;"Powiat zawierciański";5,6;
2417000;"Powiat żywiecki";5,0;
2461000;"Powiat m. Bielsko-Biała";1,8;
2462000;"Powiat m. Bytom";8,3;
2463000;"Powiat m. Chorzów";3,5;
2464000;"Powiat m. Częstochowa";3,2;
2465000;"Powiat m. Dąbrowa Górnicza";4,6;
2466000;"Powiat m. Gliwice";2,3;
2467000;"Powiat m. Jastrzębie-Zdrój";3,4;
2468000;"Powiat m. Jaworzno";4,2;
2469000;"Powiat m. Katowice";1,5;
2470000;"Powiat m. Mysłowice";5,0;
2471000;"Powiat m. Piekary Śląskie";7,0;
2472000;"Powiat m. Ruda Śląska";2,5;
2473000;"Powiat m. Rybnik";2,8;
2474000;"Powiat m. Siemianowice Śląskie";3,9;
2475000;"Powiat m. Sosnowiec";5,2;
2476000;"Powiat m. Świętochłowice";4,6;
2477000;"Powiat m. Tychy";1,7;
2478000;"Powiat m. Zabrze";4,4;
2479000;"Powiat m. Żory";3,5;
2601000;"Powiat buski";4,4;
2602000;"Powiat jędrzejowski";6,7;
2603000;"Powiat kazimierski";10,0;
2604000;"Powiat kielecki";7,0;
2605000;"Powiat konecki";10,5;
2606000;"Powiat opatowski";15,8;
2607000;"Powiat ostrowiecki";9,6;
2608000;"Powiat pińczowski";7,8;
2609000;"Powiat sandomierski";8,2;
2610000;"Powiat skarżyski";14,7;
2611000;"Powiat starachowicki";9,6;
2612000;"Powiat staszowski";6,5;
2613000;"Powiat włoszczowski";7,1;
2661000;"Powiat m. Kielce";4,6;
2801000;"Powiat bartoszycki";18,2;
2802000;"Powiat braniewski";17,1;
2803000;"Powiat działdowski";12,7;
2804000;"Powiat elbląski";13,0;
2805000;"Powiat ełcki";11,1;
2806000;"Powiat giżycki";8,8;
2807000;"Powiat iławski";4,3;
2808000;"Powiat kętrzyński";18,0;
2809000;"Powiat lidzbarski";10,7;
2810000;"Powiat mrągowski";9,3;
2811000;"Powiat nidzicki";6,4;
2812000;"Powiat nowomiejski";11,0;
