"Kod";"Nazwa";"budynki mieszkalne ogółem (PKOB 11);2022;[-]";
1419000;"Powiat płocki";3,5;
1420000;"Powiat płoński";3,3;
1421000;"Powiat pruszkowski";4,4;
1422000;"Powiat przasnyski";2,0;
1423000;"Powiat przysuski";2,8;
1424000;"Powiat pułtuski";2,5;
1425000;"Powiat radomski";4,7;
1426000;"Powiat siedlecki";4,9;
1427000;"Powiat sierpecki";1,7;
1428000;"Powiat sochaczewski";4,4;
1429000;"Powiat sokołowski";1,8;
1430000;"Powiat szydłowiecki";2,6;
1432000;"Powiat warszawski zachodni";5,2;
1433000;"Powiat węgrowski";4,0;
1434000;"Powiat wołomiński";3,6;
1435000;"Powiat wyszkowski";5,0;
1436000;"Powiat zwoleński";2,3;
1437000;"Powiat żuromiński";2,0;
1438000;"Powiat żyrardowski";4,2;
1461000;"Powiat m. Ostrołęka";0,6;
1462000;"Powiat m. Płock";0,7;
1463000;"Powiat m. Radom";1,0;
1464000;"Powiat m. Siedlce";0,9;
1465000;"Powiat m. st. Warszawa";0,5;
1601000;"Powiat brzeski";1,8;
1602000;"Powiat głubczycki";1,0;
1603000;"Powiat kędzierzyńsko-kozielski";1,3;
1604000;"Powiat kluczborski";1,0;
1605000;"Powiat krapkowicki";1,9;
1606000;"Powiat namysłowski";2,2;
1607000;"Powiat nyski";2,7;
1608000;"Powiat oleski";1,7;
1609000;"Powiat opolski";6,2;
1610000;"Powiat prudnicki";1,1;
1611000;"Powiat strzelecki";1,4;
1661000;"Powiat m. Opole";0,7;
1801000;"Powiat bieszczadzki";3,0;
1802000;"Powiat brzozowski";2,4;
1803000;"Powiat dębicki";3,2;
1804000;"Powiat jarosławski";2,6;
1805000;"Powiat jasielski";2,4;
1806000;"Powiat kolbuszowski";3,0;
1807000;"Powiat krośnieński";2,2;
1808000;"Powiat leżajski";2,4;
1809000;"Powiat lubaczowski";2,1;
1810000;"Powiat łańcucki";4,1;
1811000;"Powiat mielecki";3,0;
1812000;"Powiat niżański";2,7;
1813000;"Powiat przemyski";2,7;
1814000;"Powiat przeworski";2,6;
1815000;"Powiat ropczycko-sędziszowski";4,0;
1816000;"Powiat rzeszowski";6,4;
1817000;"Powiat sanocki";2,1;
1818000;"Powiat stalowowolski";2,7;
1819000;"Powiat strzyżowski";2,4;
1820000;"Powiat tarnobrzeski";2,3;
1821000;"Powiat leski";4,5;
1861000;"Powiat m. Krosno";1,1;
1862000;"Powiat m. Przemyśl";0,8;
1863000;"Powiat m. Rzeszów";1,8;
1864000;"Powiat m. Tarnobrzeg";2,1;
2001000;"Powiat augustowski";2,4;
2002000;"Powiat białostocki";6,8;
2003000;"Powiat bielski";2,6;
2004000;"Powiat grajewski";1,4;
2005000;"Powiat hajnowski";2,2;
2006000;"Powiat kolneński";2,1;
2007000;"Powiat łomżyński";4,8;
2008000;"Powiat moniecki";2,0;
2009000;"Powiat sejneński";3,0;
2010000;"Powiat siemiatycki";1,8;
2011000;"Powiat sokólski";1,5;
2012000;"Powiat suwalski";4,8;
2013000;"Powiat wysokomazowiecki";1,5;
2014000;"Powiat zambrowski";2,5;
2061000;"Powiat m. Białystok";0,6;
2062000;"Powiat m. Łomża";0,6;
2063000;"Powiat m. Suwałki";0,7;
2201000;"Powiat bytowski";3,8;
2202000;"Powiat chojnicki";2,9;
2203000;"Powiat człuchowski";2,1;
2204000;"Powiat gdański";6,1;
2205000;"Powiat kartuski";9,3;
2206000;"Powiat kościerski";6,2;
2207000;"Powiat kwidzyński";2,1;
2208000;"Powiat lęborski";3,4;
2209000;"Powiat malborski";1,8;
2210000;"Powiat nowodworski";3,7;
2211000;"Powiat pucki";7,5;
2212000;"Powiat słupski";3,9;
2213000;"Powiat starogardzki";3,9;
2214000;"Powiat tczewski";1,7;
2215000;"Powiat wejherowski";5,0;
2216000;"Powiat sztumski";1,3;
2261000;"Powiat m. Gdańsk";0,5;
2262000;"Powiat m. Gdynia";0,6;
2263000;"Powiat m. Słupsk";0,4;
2264000;"Powiat m. Sopot";0,3;
2401000;"Powiat będziński";2,0;
2402000;"Powiat bielski";4,0;
2403000;"Powiat cieszyński";3,5;
2404000;"Powiat częstochowski";4,0;
2405000;"Powiat gliwicki";3,1;
2406000;"Powiat kłobucki";2,7;
2407000;"Powiat lubliniecki";2,5;
2408000;"Powiat mikołowski";4,2;
2409000;"Powiat myszkowski";2,4;
