"Kod";"Nazwa";"ogółem;2022;[-]";
1420000;"Powiat płoński";4,3;
1421000;"Powiat pruszkowski";8,0;
1422000;"Powiat przasnyski";4,3;
1423000;"Powiat przysuski";3,0;
1424000;"Powiat pułtuski";4,3;
1425000;"Powiat radomski";4,0;
1426000;"Powiat siedlecki";3,5;
1427000;"Powiat sierpecki";5,6;
1428000;"Powiat sochaczewski";6,1;
1429000;"Powiat sokołowski";5,4;
1430000;"Powiat szydłowiecki";4,0;
1432000;"Powiat warszawski zachodni";8,3;
1433000;"Powiat węgrowski";4,4;
1434000;"Powiat wołomiński";5,1;
1435000;"Powiat wyszkowski";4,9;
1436000;"Powiat zwoleński";3,6;
1437000;"Powiat żuromiński";3,2;
1438000;"Powiat żyrardowski";6,2;
1461000;"Powiat m. Ostrołęka";8,3;
1462000;"Powiat m. Płock";10,9;
1463000;"Powiat m. Radom";7,6;
1464000;"Powiat m. Siedlce";8,6;
1465000;"Powiat m. st. Warszawa";17,6;
1601000;"Powiat brzeski";5,6;
1602000;"Powiat głubczycki";6,3;
1603000;"Powiat kędzierzyńsko-kozielski";6,2;
1604000;"Powiat kluczborski";5,4;
1605000;"Powiat krapkowicki";6,4;
1606000;"Powiat namysłowski";4,5;
1607000;"Powiat nyski";5,7;
1608000;"Powiat oleski";5,7;
1609000;"Powiat opolski";4,5;
1610000;"Powiat prudnicki";4,9;
1611000;"Powiat strzelecki";5,6;
1661000;"Powiat m. Opole";12,3;
1801000;"Powiat bieszczadzki";4,5;
1802000;"Powiat brzozowski";3,7;
1803000;"Powiat dębicki";5,9;
1804000;"Powiat jarosławski";5,1;
1805000;"Powiat jasielski";4,8;
1806000;"Powiat kolbuszowski";3,5;
1807000;"Powiat krośnieński";3,5;
1808000;"Powiat leżajski";4,2;
1809000;"Powiat lubaczowski";3,8;
1810000;"Powiat łańcucki";4,3;
1811000;"Powiat mielecki";6,2;
1812000;"Powiat niżański";3,6;
1813000;"Powiat przemyski";2,6;
1814000;"Powiat przeworski";4,1;
1815000;"Powiat ropczycko-sędziszowski";4,3;
1816000;"Powiat rzeszowski";4,5;
1817000;"Powiat sanocki";5,5;
1818000;"Powiat stalowowolski";6,9;
1819000;"Powiat strzyżowski";3,6;
1820000;"Powiat tarnobrzeski";4,7;
1821000;"Powiat leski";4,3;
1861000;"Powiat m. Krosno";12,3;
1862000;"Powiat m. Przemyśl";9,4;
1863000;"Powiat m. Rzeszów";10,6;
1864000;"Powiat m. Tarnobrzeg";8,6;
2001000;"Powiat augustowski";4,3;
2002000;"Powiat białostocki";4,6;
2003000;"Powiat bielski";5,0;
2004000;"Powiat grajewski";4,2;
2005000;"Powiat hajnowski";5,3;
2006000;"Powiat kolneński";3,2;
2007000;"Powiat łomżyński";2,5;
2008000;"Powiat moniecki";3,3;
2009000;"Powiat sejneński";4,3;
2010000;"Powiat siemiatycki";4,2;
2011000;"Powiat sokólski";3,7;
2012000;"Powiat suwalski";2,5;
2013000;"Powiat wysokomazowiecki";4,1;
2014000;"Powiat zambrowski";4,5;
2061000;"Powiat m. Białystok";8,4;
2062000;"Powiat m. Łomża";6,8;
2063000;"Powiat m. Suwałki";5,9;
2201000;"Powiat bytowski";5,4;
2202000;"Powiat chojnicki";6,6;
2203000;"Powiat człuchowski";6,1;
2204000;"Powiat gdański";5,1;
2205000;"Powiat kartuski";5,0;
2206000;"Powiat kościerski";5,2;
2207000;"Powiat kwidzyński";6,5;
2208000;"Powiat lęborski";5,9;
2209000;"Powiat malborski";6,0;
2210000;"Powiat nowodworski";4,7;
2211000;"Powiat pucki";4,8;
2212000;"Powiat słupski";5,5;
2213000;"Powiat starogardzki";5,9;
2214000;"Powiat tczewski";6,2;
2215000;"Powiat wejherowski";4,6;
2216000;"Powiat sztumski";6,4;
2261000;"Powiat m. Gdańsk";9,3;
2262000;"Powiat m. Gdynia";9,1;
2263000;"Powiat m. Słupsk";8,7;
2264000;"Powiat m. Sopot";15,0;
2401000;"Powiat będziński";6,0;
2402000;"Powiat bielski";6,1;
2403000;"Powiat cieszyński";6,7;
2404000;"Powiat częstochowski";4,8;
2405000;"Powiat gliwicki";5,1;
2406000;"Powiat kłobucki";6,2;
2407000;"Powiat lubliniecki";5,9;
2408000;"Powiat mikołowski";7,3;
2409000;"Powiat myszkowski";6,3;
2410000;"Powiat pszczyński";6,8;
2411000;"Powiat raciborski";6,5;
2412000;"Powiat rybnicki";4,2;
2413000;"Powiat tarnogórski";7,8;
2414000;"Powiat bieruńsko-lędziński";5,2;
2415000;"Powiat wodzisławski";4,6;
2416000;"Powiat zawierciański";5,9;
2417000;"Powiat żywiecki";6,0;
2461000;"Powiat m. Bielsko-Biała";12,0;
2462000;"Powiat m. Bytom";6,0;
2463000;"Powiat m. Chorzów";8,2;
2464000;"Powiat m. Częstochowa";9,9;
2465000;"Powiat m. Dąbrowa Górnicza";9,1;
2466000;"Powiat m. Gliwice";12,1;
2467000;"Powiat m. Jastrzębie-Zdrój";7,3;
2468000;"Powiat m. Jaworzno";6,6;
2469000;"Powiat m. Katowice";16,1;
2470000;"Powiat m. Mysłowice";7,5;
2471000;"Powiat m. Piekary Śląskie";5,9;
2472000;"Powiat m. Ruda Śląska";6,2;
