"Kod";"Nazwa";"ogółem;2022;[zł]";
1412000;"Powiat miński";5785,24;
1413000;"Powiat mławski";5385,65;
1414000;"Powiat nowodworski";7534,84;
1415000;"Powiat ostrołęcki";5661,05;
1416000;"Powiat ostrowski";5729,10;
1417000;"Powiat otwocki";6468,80;
1418000;"Powiat piaseczyński";6499,96;
1419000;"Powiat płocki";5772,84;
1420000;"Powiat płoński";5660,12;
1421000;"Powiat pruszkowski";7516,43;
1422000;"Powiat przasnyski";5756,31;
1423000;"Powiat przysuski";5564,37;
1424000;"Powiat pułtuski";5503,60;
1425000;"Powiat radomski";5412,43;
1426000;"Powiat siedlecki";5411,82;
1427000;"Powiat sierpecki";5505,06;
1428000;"Powiat sochaczewski";6994,09;
1429000;"Powiat sokołowski";5459,15;
1430000;"Powiat szydłowiecki";5271,91;
1432000;"Powiat warszawski zachodni";7077,31;
1433000;"Powiat węgrowski";5786,65;
1434000;"Powiat wołomiński";6065,79;
1435000;"Powiat wyszkowski";5551,98;
1436000;"Powiat zwoleński";5638,92;
1437000;"Powiat żuromiński";5390,60;
1438000;"Powiat żyrardowski";6403,00;
1461000;"Powiat m. Ostrołęka";6673,91;
1462000;"Powiat m. Płock";7898,47;
1463000;"Powiat m. Radom";6182,33;
1464000;"Powiat m. Siedlce";6234,01;
1465000;"Powiat m. st. Warszawa";8540,11;
1601000;"Powiat brzeski";5723,46;
1602000;"Powiat głubczycki";5978,21;
1603000;"Powiat kędzierzyńsko-kozielski";6760,49;
1604000;"Powiat kluczborski";5681,23;
1605000;"Powiat krapkowicki";6424,68;
1606000;"Powiat namysłowski";5829,33;
1607000;"Powiat nyski";5717,73;
1608000;"Powiat oleski";5527,82;
1609000;"Powiat opolski";5740,58;
1610000;"Powiat prudnicki";5463,74;
1611000;"Powiat strzelecki";6081,35;
1661000;"Powiat m. Opole";6560,39;
1801000;"Powiat bieszczadzki";5747,22;
1802000;"Powiat brzozowski";5049,05;
1803000;"Powiat dębicki";5507,67;
1804000;"Powiat jarosławski";5308,03;
1805000;"Powiat jasielski";5453,40;
1806000;"Powiat kolbuszowski";5082,42;
1807000;"Powiat krośnieński";4841,46;
1808000;"Powiat leżajski";5374,02;
1809000;"Powiat lubaczowski";5116,12;
1810000;"Powiat łańcucki";5344,40;
1811000;"Powiat mielecki";5845,43;
1812000;"Powiat niżański";5022,68;
1813000;"Powiat przemyski";5052,75;
1814000;"Powiat przeworski";5110,08;
1815000;"Powiat ropczycko-sędziszowski";5343,80;
1816000;"Powiat rzeszowski";5684,10;
1817000;"Powiat sanocki";5266,08;
